name,score
cont14,262
cat100,196
cat79,138
cont7,120
cat81,110
cat101,107
cont2,95
cat80,91
cat10,80
cat114,70
cat113,62
cat72,62
cat112,60
cont8,59
cont13,53
cont4,53
cat53,49
cat12,48
cont1,48
cont9,47
cont11,45
cat111,45
cat108,44
cat91,44
cont6,43
cat87,42
cont5,40
cat1,40
cont12,40
cat103,38
cont3,38
cont10,30
cat25,30
cat105,29
cat2,29
cat110,28
cat82,27
cat38,26
cat37,26
cat84,25
cat93,24
cat57,24
cat116,24
cat95,23
cat44,23
cat50,23
cat115,21
cat36,20
cat73,19
cat76,19
cat83,18
cat13,18
cat49,18
cat52,18
cat77,18
cat26,18
cat98,17
cat31,17
cat92,17
cat27,17
cat23,16
cat5,16
cat6,15
cat75,14
cat94,14
cat4,14
cat90,13
cat102,13
cat39,13
cat9,13
cat51,13
cat99,12
cat78,10
cat42,10
cat89,10
cat11,9
cat97,8
cat107,8
cat45,8
cat104,8
cat41,8
cat19,7
cat29,7
cat8,7
cat67,7
cat21,7
cat65,6
cat71,6
cat32,6
cat106,6
cat109,6
cat16,6
cat56,6
cat54,5
cat85,5
cat88,5
cat22,4
cat40,4
cat74,4
cat48,3
cat43,3
cat3,3
cat86,3
cat28,2
cat7,2
cat63,2
cat18,1
cat96,1
cat17,1
cat66,1
cat59,1
cat24,1
cat55,1
cat47,1
cat35,1
cat33,1
cat30,1
