ID;COTIS
300001;327.16595459
300002;215.47442627
300003;267.252960205
300004;323.981872559
300005;277.891296387
300006;385.141082764
300007;421.102996826
300008;179.184448242
300009;555.149353027
300010;499.915771484
300011;245.906539917
300012;355.895507812
300013;212.388092041
300014;199.464141846
300015;383.820648193
300016;179.638168335
300017;239.473556519
300018;469.534637451
300019;281.321563721
300020;448.86026001
300021;210.926849365
300022;370.763153076
300023;401.707763672
300024;319.802764893
300025;268.40625
300026;228.96105957
300027;280.259063721
300028;354.09777832
300029;251.11781311
300030;204.982070923
300031;370.405853271
300032;394.289581299
300033;255.682830811
300034;367.197814941
300035;328.406585693
300036;286.563293457
300037;143.256668091
300038;300.049133301
300039;195.361541748
300040;204.77204895
300041;313.153442383
300042;483.789093018
300043;266.63760376
300044;446.144439697
300045;234.28553772
300046;281.338439941
300047;259.95526123
300048;229.984649658
300049;354.805206299
300050;239.838928223
300051;306.49822998
300052;267.88848877
300053;295.57824707
300054;325.887542725
300055;302.563354492
300056;336.558074951
300057;276.383300781
300058;375.149871826
300059;295.409667969
300060;255.882125854
300061;364.747436523
300062;198.860092163
300063;156.030380249
300064;296.545288086
300065;274.275238037
300066;209.134490967
300067;396.294433594
300068;392.57598877
300069;388.869171143
300070;272.814605713
300071;208.499633789
300072;313.130004883
300073;271.852508545
300074;442.680877686
300075;349.553710938
300076;303.553344727
300077;300.51751709
300078;333.920074463
300079;285.335235596
300080;211.543167114
300081;185.551696777
300082;276.592712402
300083;273.300567627
300084;307.425140381
300085;214.708602905
300086;216.582687378
300087;288.901733398
300088;279.987426758
300089;348.876708984
300090;236.779968262
300091;365.22366333
300092;235.556243896
300093;172.631759644
300094;362.56729126
300095;203.968887329
300096;396.574768066
300097;221.135467529
300098;552.79107666
300099;352.452880859
300100;264.561187744
300101;277.230651855
300102;237.431976318
300103;549.786804199
300104;268.415924072
300105;264.519866943
300106;321.63772583
300107;306.870635986
300108;256.161621094
300109;248.523712158
300110;535.313476562
300111;445.026428223
300112;290.066436768
300113;309.162109375
300114;315.687988281
300115;369.366394043
300116;274.665313721
300117;251.063766479
300118;542.386352539
300119;217.947555542
300120;221.518508911
300121;225.789199829
300122;477.819000244
300123;250.540802002
300124;471.265197754
300125;265.682952881
300126;310.025024414
300127;444.322509766
300128;256.754119873
300129;183.650512695
300130;252.419769287
300131;263.467346191
300132;285.980255127
300133;168.404983521
300134;337.194091797
300135;277.892089844
300136;221.439941406
300137;186.373733521
300138;284.062408447
300139;277.066345215
300140;292.639007568
300141;479.358398438
300142;260.049591064
300143;272.071228027
300144;320.941925049
300145;312.257751465
300146;389.917663574
300147;202.966186523
300148;344.161468506
300149;390.306365967
300150;175.27154541
300151;440.066619873
300152;320.727478027
300153;349.483581543
300154;314.962158203
300155;286.468902588
300156;302.243438721
300157;354.115783691
300158;184.616500854
300159;328.525390625
300160;202.623535156
300161;272.953674316
300162;287.374908447
300163;300.222808838
300164;345.647613525
300165;373.274353027
300166;218.333297729
300167;239.366455078
300168;289.512939453
300169;271.642822266
300170;206.543716431
300171;265.664367676
300172;303.809967041
300173;315.807006836
300174;155.008651733
300175;270.173614502
300176;395.943206787
300177;484.494262695
300178;279.511749268
300179;157.394302368
300180;209.467803955
300181;233.142150879
300182;256.348510742
300183;214.51953125
300184;149.343856812
300185;251.290023804
300186;240.48085022
300187;149.700378418
300188;279.853302002
300189;374.143432617
300190;214.373260498
300191;312.407348633
300192;387.537017822
300193;316.434204102
300194;279.228820801
300195;229.994628906
300196;327.890716553
300197;327.902893066
300198;207.200378418
300199;222.906433105
300200;466.282501221
300201;448.673217773
300202;356.247711182
300203;319.616210938
300204;260.448944092
300205;256.399078369
300206;256.119598389
300207;352.010498047
300208;170.618164062
300209;241.91267395
300210;176.011032104
300211;168.187240601
300212;210.226989746
300213;395.360351562
300214;409.287994385
300215;186.713088989
300216;212.767440796
300217;239.724304199
300218;255.620071411
300219;349.963348389
300220;256.754821777
300221;479.542785645
300222;375.661315918
300223;238.801208496
300224;265.564758301
300225;270.099304199
300226;163.29460144
300227;268.230377197
300228;238.744445801
300229;331.600158691
300230;260.044128418
300231;386.745880127
300232;297.895782471
300233;323.340484619
300234;289.323974609
300235;267.973754883
300236;240.893081665
300237;323.929473877
300238;602.96295166
300239;226.118255615
300240;289.509063721
300241;247.60824585
300242;241.745681763
300243;258.988250732
300244;383.460632324
300245;220.467529297
300246;630.443664551
300247;285.461181641
300248;281.098815918
300249;270.185211182
300250;323.891326904
300251;266.796234131
300252;245.146148682
300253;195.679702759
300254;279.91494751
300255;284.949523926
300256;289.526000977
300257;317.438812256
300258;352.821929932
300259;314.071380615
300260;235.413650513
300261;204.425186157
300262;203.637680054
300263;301.543457031
300264;259.525390625
300265;274.671295166
300266;219.835708618
300267;350.304779053
300268;267.88583374
300269;470.416503906
300270;268.423248291
300271;458.825592041
300272;197.60067749
300273;379.137969971
300274;252.647216797
300275;278.701629639
300276;359.217712402
300277;355.329101562
300278;344.239257812
300279;295.871734619
300280;324.27520752
300281;333.675476074
300282;266.435577393
300283;304.564727783
300284;292.777374268
300285;291.951690674
300286;380.223266602
300287;309.667236328
300288;226.436187744
300289;307.381378174
300290;282.389526367
300291;364.536590576
300292;273.686065674
300293;348.744720459
300294;479.483795166
300295;340.670257568
300296;346.120513916
300297;341.743560791
300298;208.667144775
300299;348.574981689
300300;397.022216797
300301;469.060852051
300302;492.965576172
300303;315.807800293
300304;339.495330811
300305;480.71673584
300306;501.927307129
300307;313.058166504
300308;240.208084106
300309;292.103790283
300310;368.483032227
300311;345.380065918
300312;336.183135986
300313;419.946685791
300314;321.19229126
300315;307.166107178
300316;301.300842285
300317;334.734191895
300318;258.055175781
300319;491.609893799
300320;402.609802246
300321;319.827789307
300322;333.259887695
300323;421.779937744
300324;330.20111084
300325;371.506530762
300326;163.247833252
300327;330.052032471
300328;316.986999512
300329;252.566711426
300330;208.363983154
300331;296.118377686
300332;445.843170166
300333;386.400421143
300334;546.750610352
300335;255.518951416
300336;647.396606445
300337;559.909179688
300338;299.95425415
300339;256.18737793
300340;368.298095703
300341;314.254638672
300342;244.062072754
300343;205.152404785
300344;485.790740967
300345;342.284240723
300346;190.572311401
300347;330.200836182
300348;210.528182983
300349;238.184509277
300350;310.986694336
300351;195.794494629
300352;384.652954102
300353;377.028259277
300354;216.827590942
300355;295.965087891
300356;251.007278442
300357;226.00869751
300358;298.078216553
300359;220.147064209
300360;337.136016846
300361;277.923461914
300362;254.184463501
300363;232.870101929
300364;238.266265869
300365;377.621307373
300366;447.677642822
300367;272.733123779
300368;217.233352661
300369;381.381896973
300370;417.447814941
300371;389.549560547
300372;447.134124756
300373;301.839233398
300374;275.362976074
300375;337.840332031
300376;314.705810547
300377;492.866912842
300378;264.866363525
300379;222.297454834
300380;226.597091675
300381;426.661834717
300382;510.195098877
300383;192.004745483
300384;202.293960571
300385;283.902435303
300386;356.450744629
300387;241.658935547
300388;267.446868896
300389;229.278808594
300390;265.305969238
300391;270.092651367
300392;319.665161133
300393;397.968170166
300394;368.809112549
300395;255.228118896
300396;226.363891602
300397;316.535095215
300398;376.550964355
300399;319.012939453
300400;351.249694824
300401;380.984069824
300402;274.178436279
300403;216.775863647
300404;302.236907959
300405;255.63482666
300406;732.509033203
300407;425.113494873
300408;385.134796143
300409;268.920135498
300410;284.427062988
300411;261.855834961
300412;430.819396973
300413;246.814849854
300414;220.039230347
300415;358.576293945
300416;363.836608887
300417;292.253387451
300418;257.510528564
300419;380.883209229
300420;283.749511719
300421;325.735229492
300422;372.476470947
300423;398.158660889
300424;336.526641846
300425;267.314758301
300426;287.29309082
300427;300.329864502
300428;507.135131836
300429;454.451385498
300430;386.792877197
300431;484.285736084
300432;227.530685425
300433;320.062774658
300434;294.265594482
300435;213.867202759
