0,1,2
"Санкт-Петербург, Россия","1-я Красноармейская улица, 8-10",30.314754 59.915896
"Санкт-Петербург, Россия","проспект Просвещения, 54А",30.361017 60.04782
"Санкт-Петербург, Россия","Кондратьевский проспект, 51к4",30.389907 59.972505
"Санкт-Петербург, Россия","улица Лизы Чайкиной, 17",30.30251 59.954971
"Санкт-Петербург, Россия","улица Лизы Чайкиной, 18",30.302474 59.955448
"Санкт-Петербург, Россия","улица Блохина, 16",30.299752 59.951907
"Санкт-Петербург, Россия","улица Черняховского, 53",30.359095 59.920136
"Санкт-Петербург, Россия","Репищева улица, 7",30.281157 60.019936
"Санкт-Петербург, Россия","Новочеркасский проспект, 32",30.413668 59.927545
"Санкт-Петербург, Россия","Большая Зеленина улица, 13",30.292808 59.961237
"Санкт-Петербург, Россия","набережная Лейтенанта Шмидта, 21",30.277106 59.934236
"Санкт-Петербург, Россия","Новочеркасский проспект, 33к2",30.406005 59.931806
"Санкт-Петербург, Россия","набережная канала Грибоедова, 28",30.325786 59.932536
"Санкт-Петербург, Россия","набережная канала Грибоедова, 28",30.325786 59.932536
"Санкт-Петербург, Россия","набережная Крюкова канала, 7",30.295018 59.923955
"Санкт-Петербург, Россия","Ленинский проспект, 87к1",30.204208 59.855267
"Санкт-Петербург, Россия","Каменноостровский проспект, 62",30.303292 59.973055
"Санкт-Петербург, Россия","4-я Красноармейская улица, 20/8",30.310325 59.913632
"Санкт-Петербург, Россия","проспект Космонавтов, 61к1",30.356777 59.839651
"Санкт-Петербург, Россия","Киевская улица, 6к2",30.323683 59.903074
"Санкт-Петербург, Россия","Русановская улица, 19к1",30.512366 59.864887
"Санкт-Петербург, Россия","Сестрорецкая улица, 8",30.288074 59.98652
"Санкт-Петербург, Россия","8-я линия Васильевского острова, 73",30.271536 59.946631
"Санкт-Петербург, Россия","улица Савушкина, 121к2",30.22521 59.986997
"Санкт-Петербург, Россия","проспект Науки, 12А",30.394965 60.014302
"Санкт-Петербург, Россия","Московский проспект, 179",30.319875 59.858358
"Колпино, Санкт-Петербург, Россия","проспект Ленина, 70",30.56551 59.749688
no_city,no_street,"0.0, 0.0"
"Санкт-Петербург, Россия","проспект Юрия Гагарина, 27",30.334337 59.859488
"Санкт-Петербург, Россия","Средний проспект Васильевского острова, 18А",30.28263 59.944107
"Санкт-Петербург, Россия","проспект Просвещения, 50",30.356202 60.04919
"Санкт-Петербург, Россия","улица Брянцева, 13к1",30.408278 60.039876
"Санкт-Петербург, Россия","Петергофское шоссе, 53",30.140176 59.848407
"Санкт-Петербург, Россия","Пулковское шоссе, 38к7",30.327591 59.820553
"Санкт-Петербург, Россия","Большеохтинский проспект, 6",30.409203 59.950019
"Санкт-Петербург, Россия","Ивановская улица, 20",30.440132 59.873894
"Санкт-Петербург, Россия","улица Крупской, 29",30.426567 59.889345
"Кронштадт, Санкт-Петербург, Россия","Пролетарская улица, 17",29.789141 59.990841
"Санкт-Петербург, Россия","Большая Зеленина улица, 22",30.287526 59.963471
"Санкт-Петербург, Россия","проспект Космонавтов, 61к1",30.356777 59.839651
"Санкт-Петербург, Россия","Пулковское шоссе, 20к3",30.326989 59.82822
"Санкт-Петербург, Россия","Большой проспект Петроградской стороны, 53",30.30675 59.962228
"Санкт-Петербург, Россия","улица Антонова-Овсеенко, 3к1",30.45817 59.905556
"Санкт-Петербург, Россия","Московский проспект, 70",30.319012 59.906892
"Петрозаводск, Республика Карелия, Россия","улица Берёзовая Аллея, 25",34.311197 61.766735
no_city,no_street,"0.0, 0.0"
"район Сулажгора, Петрозаводск, Республика Карелия, Россия","улица Жуковского, 12А",34.269084 61.812206
"район Сулажгора, Петрозаводск, Республика Карелия, Россия","улица Жуковского, 12А",34.269084 61.812206
"Петрозаводск, Республика Карелия, Россия","Лососинское шоссе, 26",34.314602 61.765462
"район Первомайский, Петрозаводск, Республика Карелия, Россия","улица Шотмана, 48А",34.325004 61.797822
no_city,no_street,"0.0, 0.0"
no_city,no_street,"0.0, 0.0"
"Сортавала, Сортавальское городское поселение, Республика Карелия, Россия","улица Кирова, 6",30.694508 61.702278
"Сортавала, Сортавальское городское поселение, Республика Карелия, Россия","улица Кирова, 6",30.694508 61.702278
no_city,no_street,"0.0, 0.0"
no_city,no_street,"0.0, 0.0"
"Республика Карелия, Россия",Петрозаводск,34.359688 61.789036
no_city,no_street,"0.0, 0.0"
"Республика Карелия, Россия",Петрозаводск,34.359688 61.789036
"район Рыбка, Петрозаводск, Республика Карелия, Россия","Пограничная улица, 19",34.287607 61.801848
"Санкт-Петербург, Россия","Новгородская улица, 23",30.39059 59.94079
"Санкт-Петербург, Россия","Полтавский проезд, 2",30.366839 59.926278
"Ильинское сельское поселение, Красногорский район, Московская область, Россия","поселок Инженерный-1, 3",37.209126 55.787401
"Санкт-Петербург, Россия","улица Кораблестроителей, 30",30.216496 59.952195
"Санкт-Петербург, Россия","Серпуховская улица, 30",30.324824 59.914236
"Санкт-Петербург, Россия","Октябрьская набережная, 64к3",30.455026 59.881209
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Россия","Первомайская улица, 22",30.371025 59.806762
"Санкт-Петербург, Россия","Варшавская улица, 6к1",30.313937 59.879764
"Санкт-Петербург, Россия","набережная реки Фонтанки, 90к8",30.330385 59.925353
"Санкт-Петербург, Россия","Угловой переулок, 11",30.315769 59.909481
"Сланцы, Сланцевское городское поселение, Ленинградская область, Россия","улица Кирова, 22",28.088702 59.119675
"квартал Славянка, посёлок Шушары, Пушкинский район, Санкт-Петербург, Россия","Ростовская улица, 17/4",30.475328 59.740371
"Санкт-Петербург, Россия","Садовая улица, 42",30.315913 59.925723
"Санкт-Петербург, Россия","набережная реки Фонтанки, 168",30.272506 59.914994
"Санкт-Петербург, Россия","Бассейная улица, 33",30.318294 59.863857
"Сосновый Бор, Ленинградская область, Россия","Солнечная улица, 12",29.085904 59.901156
"Луганск, Украина","6-й Железнодорожный переулок, 17",39.259953 48.567064
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Россия","Пушкинская улица, 34",30.37902 59.804237
"Санкт-Петербург, Россия","Новочеркасский проспект, 1",30.408026 59.940506
"Санкт-Петербург, Россия","улица Сикейроса, 5к1",30.32442 60.034322
no_city,no_street,"0.0, 0.0"
"Санкт-Петербург, Россия","проспект Обуховской Обороны, 243",30.473999 59.862348
"Тихвин, Ленинградская область, Россия","улица Ярослава Иванова, 1",33.565775 59.642926
"Октябрьский район, Петрозаводск, Республика Карелия, Россия","улица Зайцева, 21Б",34.333907 61.806643
"Калининград, Россия","улица Зои Космодемьянской, 37",20.53087 54.685115
"Калининград, Россия","улица Майора Козенкова, 9",20.530699 54.685334
"Тихвин, Ленинградская область, Россия","улица Ярослава Иванова, 1",33.565775 59.642926
"район Центр, Петрозаводск, Республика Карелия, Россия","проспект Ленина, 37",34.348369 61.78526
"Костомукша, Республика Карелия, Россия","улица Калевала, 14",30.601398 64.582305
"район Центр, Петрозаводск, Республика Карелия, Россия","Красная улица, 34",34.354918 61.789475
