region,type,link
1,0,http://www.cian.ru/sale/commercial/151833506/
1,0,http://www.cian.ru/sale/commercial/150170420/
1,0,http://www.cian.ru/sale/commercial/147887803/
1,0,http://www.cian.ru/sale/commercial/147919054/
1,0,http://www.cian.ru/sale/commercial/150619583/
1,0,http://www.cian.ru/sale/commercial/149006745/
1,0,http://www.cian.ru/sale/commercial/151122208/
1,0,http://www.cian.ru/sale/commercial/150970342/
1,0,http://www.cian.ru/sale/commercial/151005923/
1,0,http://www.cian.ru/sale/commercial/8998930/
1,0,http://www.cian.ru/sale/commercial/147427273/
1,0,http://www.cian.ru/sale/commercial/149797121/
1,0,http://www.cian.ru/sale/commercial/149740783/
1,0,http://www.cian.ru/sale/commercial/150416361/
1,0,http://www.cian.ru/sale/commercial/13168716/
1,0,http://www.cian.ru/sale/commercial/151554316/
1,0,http://www.cian.ru/sale/commercial/148253819/
1,0,http://www.cian.ru/sale/commercial/151422474/
1,0,http://www.cian.ru/sale/commercial/147427375/
1,0,http://www.cian.ru/sale/commercial/149922632/
1,0,http://www.cian.ru/sale/commercial/150529571/
1,0,http://www.cian.ru/sale/commercial/147426865/
1,0,http://www.cian.ru/sale/commercial/148530864/
1,0,http://www.cian.ru/sale/commercial/151240808/
1,0,http://www.cian.ru/sale/commercial/150416377/
1,0,http://www.cian.ru/sale/commercial/5876278/
1,0,http://www.cian.ru/sale/commercial/151496100/
1,0,http://www.cian.ru/sale/commercial/151452624/
1,1,http://www.cian.ru/sale/commercial/149120114/
1,1,http://www.cian.ru/sale/commercial/151123479/
1,1,http://www.cian.ru/sale/commercial/147606422/
1,1,http://www.cian.ru/sale/commercial/14472087/
1,1,http://www.cian.ru/sale/commercial/151562903/
1,1,http://www.cian.ru/sale/commercial/151839816/
1,1,http://www.cian.ru/sale/commercial/151012261/
1,1,http://www.cian.ru/sale/commercial/150504635/
1,1,http://www.cian.ru/sale/commercial/5793430/
1,1,http://www.cian.ru/sale/commercial/147226736/
1,1,http://www.cian.ru/sale/commercial/149934360/
1,1,http://www.cian.ru/sale/commercial/146948233/
1,1,http://www.cian.ru/sale/commercial/151012743/
1,1,http://www.cian.ru/sale/commercial/13988434/
1,1,http://www.cian.ru/sale/commercial/146949509/
1,1,http://www.cian.ru/sale/commercial/149235086/
1,1,http://www.cian.ru/sale/commercial/149591506/
1,1,http://www.cian.ru/sale/commercial/147225860/
1,1,http://www.cian.ru/sale/commercial/150748568/
1,1,http://www.cian.ru/sale/commercial/151193396/
1,1,http://www.cian.ru/sale/commercial/149143358/
1,1,http://www.cian.ru/sale/commercial/150025181/
1,1,http://www.cian.ru/sale/commercial/146951698/
1,1,http://www.cian.ru/sale/commercial/149933539/
1,1,http://www.cian.ru/sale/commercial/150045347/
1,1,http://www.cian.ru/sale/commercial/150038750/
1,1,http://www.cian.ru/sale/commercial/149142699/
1,1,http://www.cian.ru/sale/commercial/14447633/
1,2,http://www.cian.ru/sale/commercial/14663634/
1,2,http://www.cian.ru/sale/commercial/148224275/
1,2,http://www.cian.ru/sale/commercial/150465899/
1,2,http://www.cian.ru/sale/commercial/151834548/
1,2,http://www.cian.ru/sale/commercial/150779365/
1,2,http://www.cian.ru/sale/commercial/14569191/
1,2,http://www.cian.ru/sale/commercial/150778920/
1,2,http://www.cian.ru/sale/commercial/150779177/
1,2,http://www.cian.ru/sale/commercial/147422420/
1,2,http://www.cian.ru/sale/commercial/150971795/
1,2,http://www.cian.ru/sale/commercial/143997192/
1,2,http://www.cian.ru/sale/commercial/150767692/
1,2,http://www.cian.ru/sale/commercial/150204028/
1,2,http://www.cian.ru/sale/commercial/146026894/
1,2,http://www.cian.ru/sale/commercial/150564212/
1,2,http://www.cian.ru/sale/commercial/148791523/
1,2,http://www.cian.ru/sale/commercial/151832082/
1,2,http://www.cian.ru/sale/commercial/5705146/
1,2,http://www.cian.ru/sale/commercial/146021106/
1,2,http://www.cian.ru/sale/commercial/151831674/
1,2,http://www.cian.ru/sale/commercial/11777993/
1,2,http://www.cian.ru/sale/commercial/146026754/
1,2,http://www.cian.ru/sale/commercial/150053938/
1,2,http://www.cian.ru/sale/commercial/150889953/
1,2,http://www.cian.ru/sale/commercial/148641353/
1,2,http://www.cian.ru/sale/commercial/146024831/
1,2,http://www.cian.ru/sale/commercial/147914323/
1,2,http://www.cian.ru/sale/commercial/151832653/
1,3,http://www.cian.ru/sale/commercial/151166174/
1,3,http://www.cian.ru/sale/commercial/149463525/
1,3,http://www.cian.ru/sale/commercial/146023697/
1,3,http://www.cian.ru/sale/commercial/150716750/
1,3,http://www.cian.ru/sale/commercial/151457305/
1,3,http://www.cian.ru/sale/commercial/151600419/
1,3,http://www.cian.ru/sale/commercial/147222920/
1,3,http://www.cian.ru/sale/commercial/147223432/
1,3,http://www.cian.ru/sale/commercial/150416363/
1,3,http://www.cian.ru/sale/commercial/147221477/
1,3,http://www.cian.ru/sale/commercial/147223907/
1,3,http://www.cian.ru/sale/commercial/150911845/
1,3,http://www.cian.ru/sale/commercial/138984983/
1,3,http://www.cian.ru/sale/commercial/149274117/
1,3,http://www.cian.ru/sale/commercial/151385587/
1,3,http://www.cian.ru/sale/commercial/147217288/
1,3,http://www.cian.ru/sale/commercial/148734374/
1,3,http://www.cian.ru/sale/commercial/149429779/
1,3,http://www.cian.ru/sale/commercial/148046769/
1,3,http://www.cian.ru/sale/commercial/13507829/
1,3,http://www.cian.ru/sale/commercial/150223907/
1,3,http://www.cian.ru/sale/commercial/149570072/
1,3,http://www.cian.ru/sale/commercial/7194328/
1,3,http://www.cian.ru/sale/commercial/149149339/
1,3,http://www.cian.ru/sale/commercial/150226366/
1,3,http://www.cian.ru/sale/commercial/14795064/
1,3,http://www.cian.ru/sale/commercial/144241456/
1,3,http://www.cian.ru/sale/commercial/151197771/
1,4,http://www.cian.ru/sale/commercial/151564435/
1,4,http://www.cian.ru/sale/commercial/148008830/
1,4,http://www.cian.ru/sale/commercial/151854837/
1,4,http://www.cian.ru/sale/commercial/14474775/
1,4,http://www.cian.ru/sale/commercial/149347579/
1,4,http://www.cian.ru/sale/commercial/150382530/
1,4,http://www.cian.ru/sale/commercial/149564466/
1,4,http://www.cian.ru/sale/commercial/150267797/
1,4,http://www.cian.ru/sale/commercial/148887581/
1,4,http://www.cian.ru/sale/commercial/149817920/
1,4,http://www.cian.ru/sale/commercial/150358093/
1,4,http://www.cian.ru/sale/commercial/148824072/
1,4,http://www.cian.ru/sale/commercial/151727881/
1,4,http://www.cian.ru/sale/commercial/150222952/
1,4,http://www.cian.ru/sale/commercial/150204447/
1,4,http://www.cian.ru/sale/commercial/150267704/
1,4,http://www.cian.ru/sale/commercial/140409480/
1,4,http://www.cian.ru/sale/commercial/14806339/
1,4,http://www.cian.ru/sale/commercial/150353253/
1,4,http://www.cian.ru/sale/commercial/148953832/
1,4,http://www.cian.ru/sale/commercial/150152103/
1,4,http://www.cian.ru/sale/commercial/149312323/
1,4,http://www.cian.ru/sale/commercial/150384261/
1,4,http://www.cian.ru/sale/commercial/145642257/
1,4,http://www.cian.ru/sale/commercial/150130873/
1,4,http://www.cian.ru/sale/commercial/150358050/
1,4,http://www.cian.ru/sale/commercial/14806474/
1,4,http://www.cian.ru/sale/commercial/148101567/
1,0,http://www.cian.ru/sale/commercial/151833506/
1,0,http://www.cian.ru/sale/commercial/150170420/
1,0,http://www.cian.ru/sale/commercial/151168893/
1,0,http://www.cian.ru/sale/commercial/150595797/
1,0,http://www.cian.ru/sale/commercial/143992935/
1,0,http://www.cian.ru/sale/commercial/151713751/
1,0,http://www.cian.ru/sale/commercial/151635478/
1,0,http://www.cian.ru/sale/commercial/151554413/
1,0,http://www.cian.ru/sale/commercial/151207740/
1,0,http://www.cian.ru/sale/commercial/138723308/
1,0,http://www.cian.ru/sale/commercial/150983397/
1,0,http://www.cian.ru/sale/commercial/151636222/
1,0,http://www.cian.ru/sale/commercial/151419974/
1,0,http://www.cian.ru/sale/commercial/151484215/
1,0,http://www.cian.ru/sale/commercial/146032599/
1,0,http://www.cian.ru/sale/commercial/142856206/
1,0,http://www.cian.ru/sale/commercial/10491821/
1,0,http://www.cian.ru/sale/commercial/150997381/
1,0,http://www.cian.ru/sale/commercial/14278044/
1,0,http://www.cian.ru/sale/commercial/7241434/
1,0,http://www.cian.ru/sale/commercial/7257376/
1,0,http://www.cian.ru/sale/commercial/140044984/
1,0,http://www.cian.ru/sale/commercial/150682383/
1,0,http://www.cian.ru/sale/commercial/150994681/
1,0,http://www.cian.ru/sale/commercial/151643896/
1,0,http://www.cian.ru/sale/commercial/150732685/
1,0,http://www.cian.ru/sale/commercial/149622480/
1,0,http://www.cian.ru/sale/commercial/10449065/
1,1,http://www.cian.ru/sale/commercial/12785916/
1,1,http://www.cian.ru/sale/commercial/150090727/
1,1,http://www.cian.ru/sale/commercial/149613556/
1,1,http://www.cian.ru/sale/commercial/14067549/
1,1,http://www.cian.ru/sale/commercial/151193348/
1,1,http://www.cian.ru/sale/commercial/147226967/
1,1,http://www.cian.ru/sale/commercial/148188043/
1,1,http://www.cian.ru/sale/commercial/149598902/
1,1,http://www.cian.ru/sale/commercial/139124101/
1,1,http://www.cian.ru/sale/commercial/151722264/
1,1,http://www.cian.ru/sale/commercial/4804771/
1,1,http://www.cian.ru/sale/commercial/151012847/
1,1,http://www.cian.ru/sale/commercial/149143843/
1,1,http://www.cian.ru/sale/commercial/151721803/
1,1,http://www.cian.ru/sale/commercial/151421909/
1,1,http://www.cian.ru/sale/commercial/6082379/
1,1,http://www.cian.ru/sale/commercial/150353581/
1,1,http://www.cian.ru/sale/commercial/150639916/
1,1,http://www.cian.ru/sale/commercial/150639241/
1,1,http://www.cian.ru/sale/commercial/150353580/
1,1,http://www.cian.ru/sale/commercial/6082535/
1,1,http://www.cian.ru/sale/commercial/147499401/
1,1,http://www.cian.ru/sale/commercial/150455528/
1,1,http://www.cian.ru/sale/commercial/151731910/
1,1,http://www.cian.ru/sale/commercial/149302941/
1,1,http://www.cian.ru/sale/commercial/148514676/
1,1,http://www.cian.ru/sale/commercial/14165092/
1,1,http://www.cian.ru/sale/commercial/151196974/
1,2,http://www.cian.ru/sale/commercial/151493616/
1,2,http://www.cian.ru/sale/commercial/151168466/
1,2,http://www.cian.ru/sale/commercial/150599643/
1,2,http://www.cian.ru/sale/commercial/138483385/
1,2,http://www.cian.ru/sale/commercial/9610937/
1,2,http://www.cian.ru/sale/commercial/151341940/
1,2,http://www.cian.ru/sale/commercial/151713217/
1,2,http://www.cian.ru/sale/commercial/146023146/
1,2,http://www.cian.ru/sale/commercial/146476641/
1,2,http://www.cian.ru/sale/commercial/147919053/
1,2,http://www.cian.ru/sale/commercial/148919113/
1,2,http://www.cian.ru/sale/commercial/148626655/
1,2,http://www.cian.ru/sale/commercial/151196972/
1,2,http://www.cian.ru/sale/commercial/151230416/
1,2,http://www.cian.ru/sale/commercial/151634784/
1,2,http://www.cian.ru/sale/commercial/148629057/
1,2,http://www.cian.ru/sale/commercial/151833175/
1,2,http://www.cian.ru/sale/commercial/150346753/
1,2,http://www.cian.ru/sale/commercial/150572658/
1,2,http://www.cian.ru/sale/commercial/151415596/
1,2,http://www.cian.ru/sale/commercial/151653898/
1,2,http://www.cian.ru/sale/commercial/151632959/
1,2,http://www.cian.ru/sale/commercial/150832133/
1,2,http://www.cian.ru/sale/commercial/150694110/
1,2,http://www.cian.ru/sale/commercial/4299658/
1,2,http://www.cian.ru/sale/commercial/151366083/
1,2,http://www.cian.ru/sale/commercial/148928407/
1,2,http://www.cian.ru/sale/commercial/150572190/
1,3,http://www.cian.ru/sale/commercial/151246514/
1,3,http://www.cian.ru/sale/commercial/146023697/
1,3,http://www.cian.ru/sale/commercial/149591552/
1,3,http://www.cian.ru/sale/commercial/148341396/
1,3,http://www.cian.ru/sale/commercial/148064981/
1,3,http://www.cian.ru/sale/commercial/8396098/
1,3,http://www.cian.ru/sale/commercial/14686424/
1,3,http://www.cian.ru/sale/commercial/149665981/
1,3,http://www.cian.ru/sale/commercial/10400195/
1,3,http://www.cian.ru/sale/commercial/148952211/
1,3,http://www.cian.ru/sale/commercial/150253404/
1,3,http://www.cian.ru/sale/commercial/148086948/
1,3,http://www.cian.ru/sale/commercial/149666027/
1,3,http://www.cian.ru/sale/commercial/148341397/
1,3,http://www.cian.ru/sale/commercial/150188000/
1,3,http://www.cian.ru/sale/commercial/149571372/
1,3,http://www.cian.ru/sale/commercial/149666096/
1,3,http://www.cian.ru/sale/commercial/149666233/
1,3,http://www.cian.ru/sale/commercial/14726494/
1,3,http://www.cian.ru/sale/commercial/3707987/
1,3,http://www.cian.ru/sale/commercial/149666279/
1,3,http://www.cian.ru/sale/commercial/149666162/
1,3,http://www.cian.ru/sale/commercial/148091864/
1,3,http://www.cian.ru/sale/commercial/151609664/
1,3,http://www.cian.ru/sale/commercial/150924539/
1,3,http://www.cian.ru/sale/commercial/14726499/
1,3,http://www.cian.ru/sale/commercial/1047101/
1,3,http://www.cian.ru/sale/commercial/148341402/
1,4,http://www.cian.ru/sale/commercial/146275701/
1,4,http://www.cian.ru/sale/commercial/147812012/
1,4,http://www.cian.ru/sale/commercial/151832288/
1,4,http://www.cian.ru/sale/commercial/149816762/
1,4,http://www.cian.ru/sale/commercial/149816819/
1,4,http://www.cian.ru/sale/commercial/150034485/
1,4,http://www.cian.ru/sale/commercial/151498576/
1,4,http://www.cian.ru/sale/commercial/151496889/
1,4,http://www.cian.ru/sale/commercial/149005922/
1,4,http://www.cian.ru/sale/commercial/151756212/
1,4,http://www.cian.ru/sale/commercial/9306646/
1,4,http://www.cian.ru/sale/commercial/150708197/
1,4,http://www.cian.ru/sale/commercial/150975121/
1,4,http://www.cian.ru/sale/commercial/151638583/
1,4,http://www.cian.ru/sale/commercial/149590577/
1,4,http://www.cian.ru/sale/commercial/146707711/
1,4,http://www.cian.ru/sale/commercial/145036314/
