region,type,link
2,0,http://spb.cian.ru/sale/commercial/151200857/
2,0,http://spb.cian.ru/sale/commercial/150987243/
2,0,http://spb.cian.ru/sale/commercial/151057649/
2,0,http://spb.cian.ru/sale/commercial/151631164/
2,0,http://spb.cian.ru/sale/commercial/150023778/
2,0,http://spb.cian.ru/sale/commercial/151011721/
2,0,http://spb.cian.ru/sale/commercial/149578611/
2,0,http://spb.cian.ru/sale/commercial/148955104/
2,0,http://spb.cian.ru/sale/commercial/14448614/
2,0,http://spb.cian.ru/sale/commercial/150748942/
2,0,http://spb.cian.ru/sale/commercial/150132444/
2,0,http://spb.cian.ru/sale/commercial/148807479/
2,0,http://spb.cian.ru/sale/commercial/148831076/
2,0,http://spb.cian.ru/sale/commercial/148832528/
2,0,http://spb.cian.ru/sale/commercial/147416361/
2,0,http://spb.cian.ru/sale/commercial/151631962/
2,0,http://spb.cian.ru/sale/commercial/143287930/
2,0,http://spb.cian.ru/sale/commercial/151560500/
2,0,http://spb.cian.ru/sale/commercial/151843607/
2,0,http://spb.cian.ru/sale/commercial/149968679/
2,0,http://spb.cian.ru/sale/commercial/139159439/
2,0,http://spb.cian.ru/sale/commercial/149649640/
2,0,http://spb.cian.ru/sale/commercial/150936419/
2,0,http://spb.cian.ru/sale/commercial/151499986/
2,0,http://spb.cian.ru/sale/commercial/139126364/
2,0,http://spb.cian.ru/sale/commercial/151547376/
2,0,http://spb.cian.ru/sale/commercial/150040348/
2,0,http://spb.cian.ru/sale/commercial/145087024/
2,1,http://spb.cian.ru/sale/commercial/151794818/
2,1,http://spb.cian.ru/sale/commercial/151057650/
2,1,http://spb.cian.ru/sale/commercial/151057651/
2,1,http://spb.cian.ru/sale/commercial/14660154/
2,1,http://spb.cian.ru/sale/commercial/150686787/
2,1,http://spb.cian.ru/sale/commercial/150188351/
2,1,http://spb.cian.ru/sale/commercial/151725440/
2,1,http://spb.cian.ru/sale/commercial/151313692/
2,1,http://spb.cian.ru/sale/commercial/151810724/
2,1,http://spb.cian.ru/sale/commercial/149607261/
2,1,http://spb.cian.ru/sale/commercial/148080718/
2,1,http://spb.cian.ru/sale/commercial/148807729/
2,1,http://spb.cian.ru/sale/commercial/9017224/
2,1,http://spb.cian.ru/sale/commercial/148829840/
2,1,http://spb.cian.ru/sale/commercial/13567308/
2,1,http://spb.cian.ru/sale/commercial/148955103/
2,1,http://spb.cian.ru/sale/commercial/14358214/
2,1,http://spb.cian.ru/sale/commercial/147868526/
2,1,http://spb.cian.ru/sale/commercial/148808521/
2,1,http://spb.cian.ru/sale/commercial/151175665/
2,1,http://spb.cian.ru/sale/commercial/151631139/
2,1,http://spb.cian.ru/sale/commercial/151554906/
2,1,http://spb.cian.ru/sale/commercial/149714044/
2,1,http://spb.cian.ru/sale/commercial/150742710/
2,1,http://spb.cian.ru/sale/commercial/151636837/
2,1,http://spb.cian.ru/sale/commercial/151638883/
2,1,http://spb.cian.ru/sale/commercial/150558677/
2,1,http://spb.cian.ru/sale/commercial/151794541/
2,2,http://spb.cian.ru/sale/commercial/150394275/
2,2,http://spb.cian.ru/sale/commercial/151855799/
2,2,http://spb.cian.ru/sale/commercial/150847277/
2,2,http://spb.cian.ru/sale/commercial/14022049/
2,2,http://spb.cian.ru/sale/commercial/140911867/
2,2,http://spb.cian.ru/sale/commercial/150368575/
2,2,http://spb.cian.ru/sale/commercial/151630908/
2,2,http://spb.cian.ru/sale/commercial/151208054/
2,2,http://spb.cian.ru/sale/commercial/151538375/
2,2,http://spb.cian.ru/sale/commercial/151554902/
2,2,http://spb.cian.ru/sale/commercial/151535460/
2,2,http://spb.cian.ru/sale/commercial/151369654/
2,2,http://spb.cian.ru/sale/commercial/144040352/
2,2,http://spb.cian.ru/sale/commercial/140918334/
2,2,http://spb.cian.ru/sale/commercial/151566799/
2,2,http://spb.cian.ru/sale/commercial/14403777/
2,2,http://spb.cian.ru/sale/commercial/144187813/
2,2,http://spb.cian.ru/sale/commercial/14773494/
2,2,http://spb.cian.ru/sale/commercial/146192505/
2,2,http://spb.cian.ru/sale/commercial/14550001/
2,2,http://spb.cian.ru/sale/commercial/138442739/
2,2,http://spb.cian.ru/sale/commercial/147480052/
2,2,http://spb.cian.ru/sale/commercial/147928288/
2,2,http://spb.cian.ru/sale/commercial/151096871/
2,2,http://spb.cian.ru/sale/commercial/147489968/
2,3,http://spb.cian.ru/sale/commercial/151560267/
2,3,http://spb.cian.ru/sale/commercial/148808263/
2,3,http://spb.cian.ru/sale/commercial/150751864/
2,3,http://spb.cian.ru/sale/commercial/148807161/
2,3,http://spb.cian.ru/sale/commercial/148805635/
2,3,http://spb.cian.ru/sale/commercial/142512970/
2,3,http://spb.cian.ru/sale/commercial/150544442/
2,3,http://spb.cian.ru/sale/commercial/151369655/
2,3,http://spb.cian.ru/sale/commercial/149369043/
2,3,http://spb.cian.ru/sale/commercial/149511433/
2,3,http://spb.cian.ru/sale/commercial/139131831/
2,3,http://spb.cian.ru/sale/commercial/148404430/
2,3,http://spb.cian.ru/sale/commercial/148404426/
2,3,http://spb.cian.ru/sale/commercial/148404431/
2,3,http://spb.cian.ru/sale/commercial/148404427/
2,3,http://spb.cian.ru/sale/commercial/151547366/
2,3,http://spb.cian.ru/sale/commercial/150902841/
2,3,http://spb.cian.ru/sale/commercial/150291775/
2,3,http://spb.cian.ru/sale/commercial/149839615/
2,3,http://spb.cian.ru/sale/commercial/14509435/
2,3,http://spb.cian.ru/sale/commercial/139131815/
2,3,http://spb.cian.ru/sale/commercial/150249428/
2,3,http://spb.cian.ru/sale/commercial/143146574/
2,3,http://spb.cian.ru/sale/commercial/148598359/
2,3,http://spb.cian.ru/sale/commercial/148598357/
2,3,http://spb.cian.ru/sale/commercial/151548029/
2,4,http://spb.cian.ru/sale/commercial/150157749/
2,4,http://spb.cian.ru/sale/commercial/148833351/
2,4,http://spb.cian.ru/sale/commercial/149752683/
2,4,http://spb.cian.ru/sale/commercial/149960963/
2,4,http://spb.cian.ru/sale/commercial/148829710/
2,4,http://spb.cian.ru/sale/commercial/150818083/
2,4,http://spb.cian.ru/sale/commercial/150892607/
2,4,http://spb.cian.ru/sale/commercial/149908572/
2,4,http://spb.cian.ru/sale/commercial/149909066/
2,4,http://spb.cian.ru/sale/commercial/150038354/
2,4,http://spb.cian.ru/sale/commercial/151444556/
2,4,http://spb.cian.ru/sale/commercial/151008030/
2,4,http://spb.cian.ru/sale/commercial/151076113/
2,4,http://spb.cian.ru/sale/commercial/148793291/
2,4,http://spb.cian.ru/sale/commercial/151810818/
2,4,http://spb.cian.ru/sale/commercial/151757328/
2,4,http://spb.cian.ru/sale/commercial/151068076/
2,4,http://spb.cian.ru/sale/commercial/151427321/
2,4,http://spb.cian.ru/sale/commercial/150535119/
2,4,http://spb.cian.ru/sale/commercial/151076650/
2,4,http://spb.cian.ru/sale/commercial/151613286/
2,4,http://spb.cian.ru/sale/commercial/149163092/
2,4,http://spb.cian.ru/sale/commercial/151668302/
2,4,http://spb.cian.ru/sale/commercial/149918316/
2,4,http://spb.cian.ru/sale/commercial/151616207/
2,4,http://spb.cian.ru/sale/commercial/151724572/
2,4,http://spb.cian.ru/sale/commercial/151344904/
2,4,http://spb.cian.ru/sale/commercial/151726849/
2,0,http://spb.cian.ru/sale/commercial/151200857/
2,0,http://spb.cian.ru/sale/commercial/151057649/
2,0,http://spb.cian.ru/sale/commercial/150987243/
2,0,http://spb.cian.ru/sale/commercial/149566004/
2,0,http://spb.cian.ru/sale/commercial/142271560/
2,0,http://spb.cian.ru/sale/commercial/150268001/
2,0,http://spb.cian.ru/sale/commercial/150979877/
2,0,http://spb.cian.ru/sale/commercial/139130335/
2,0,http://spb.cian.ru/sale/commercial/148101605/
2,0,http://spb.cian.ru/sale/commercial/149339457/
2,0,http://spb.cian.ru/sale/commercial/145086896/
2,0,http://spb.cian.ru/sale/commercial/143858331/
2,0,http://spb.cian.ru/sale/commercial/150816079/
2,0,http://spb.cian.ru/sale/commercial/139126425/
2,0,http://spb.cian.ru/sale/commercial/150409277/
2,0,http://spb.cian.ru/sale/commercial/150895798/
